name,price,condition,brand,model,memory,powerPerformance,category,performance_score
NVIDIA NVIDIA GeForce RTX 3080 10 GB,452,Pre-Owned,NVIDIA,GeForce RTX 3080,10,77.66,Desktop,17441.5
ASUS AMD Radeon RX 6800 16 GB,340,Pre-Owned,ASUS,Radeon RX 6800,16,82.67,Desktop,15483.5
ZOTAC NVIDIA GeForce RTX 3070 8 GB,235.5,Pre-Owned,ZOTAC,GeForce RTX 3070,8,100.42,Desktop,15891.5
GIGABYTE NVIDIA GeForce RTX 3080 12 GB,588,Pre-Owned,GIGABYTE,GeForce RTX 3080,12,77.66,Desktop,17441.5
EVGA NVIDIA GeForce GTX 970 4 GB,57,Pre-Owned,EVGA,GeForce GTX 970,4,66.81,Desktop,8749
GIGABYTE NVIDIA GeForce RTX 3070 Ti 8 GB,355,Open Box,GIGABYTE,GeForce RTX 3070 Ti,8,80.58,Desktop,16698.5
MSI NVIDIA GeForce GTX 1050 Ti 4 GB,51,Pre-Owned,MSI,GeForce GTX 1050 Ti,4,84.18,Desktop,6412
GIGABYTE NVIDIA GeForce GTX 1080 8 GB,145,Pre-Owned,GIGABYTE,GeForce GTX 1080,8,84.8,Desktop,12082.5
ZOTAC NVIDIA GeForce GTX 1070 8 GB,71,Pre-Owned,ZOTAC,GeForce GTX 1070,8,89.88,Desktop,11026
MSI AMD Radeon RX 5700 XT 8 GB,129,Pre-Owned,MSI,Radeon RX 5700 XT,8,75.08,Desktop,13221
GIGABYTE NVIDIA GeForce RTX 3070 8 GB,281,Open Box,GIGABYTE,GeForce RTX 3070,8,100.42,Desktop,15891.5
EVGA NVIDIA GeForce RTX 3080 Ti 12 GB,750,Brand New,EVGA,GeForce RTX 3080 Ti,12,76.82,Desktop,18598.5
EVGA NVIDIA GeForce RTX 3070 8 GB,250,Pre-Owned,EVGA,GeForce RTX 3070,8,100.42,Desktop,15891.5
ASUS NVIDIA GeForce RTX 3070 8 GB,400,Open Box,ASUS,GeForce RTX 3070,8,100.42,Desktop,15891.5
ZOTAC NVIDIA GeForce RTX 3080 Ti 12 GB,640,Pre-Owned,ZOTAC,GeForce RTX 3080 Ti,12,76.82,Desktop,18598.5
GIGABYTE NVIDIA GeForce GTX 1050 Ti 4 GB,240.53,Brand New,GIGABYTE,GeForce GTX 1050 Ti,4,84.18,Desktop,6412
ASUS NVIDIA GeForce RTX 3070 8 GB,257,Pre-Owned,ASUS,GeForce RTX 3070,8,100.42,Desktop,15891.5
NVIDIA NVIDIA GeForce RTX 3080 Ti 12 GB,704,Pre-Owned,NVIDIA,GeForce RTX 3080 Ti,12,76.82,Desktop,18598.5
